,V1,,V2,,V3,,,,,,,
Freq (Hz),Vin (V),Vout (V),Vin (V),Vout (V),Vin (V),Vout (V),,,,,,
20,0.216,0.045,0.212,0.380,0.210,7.600,,,,,,
100,0.216,0.045,0.226,3.160,0.220,7.600,,,,,,
200,0.232,0.072,0.224,3.400,0.214,7.120,,,,,,
1000,0.225,0.118,0.224,4.560,0.212,7.040,,,,,,
2000,0.226,0.115,0.220,4.480,0.214,7.040,,,,,,
10000,0.218,0.096,0.220,3.160,0.210,7.000,,,,,,
20000,0.210,0.060,0.224,1.960,0.202,7.000,,,,,,
